Proton,Neutron,Mass,Nucleus,Name,Spin,Abundance (%),Gamma (MHz/T),Q (fm^2),$\gamma_h/\gamma_n$,Refsample,SampleCondition,Lifetime(y),Gamma
29,36,65,Cu,Copper,1.5,30.83,12.10269892,-20.4,28.403693,[Cu(CH<sub>3</sub>CN)<sub>4</sub>][ClO<sub>4</sub>],"CH<sub>3</sub>CN, sat.",-,7.60435
30,37,67,Zn,Zinc,2.5,4.1,2.668531832,12.2,6.256803,Zn(NO<sub>3</sub>)<sub>2</sub>,"D<sub>2</sub>O, sat.",-,1.676688
31,38,69,Ga,Gallium,1.5,60.108,10.24775601,17.1,24.001354,Ga(NO<sub>3</sub>)<sub>3</sub>,"D<sub>2</sub>O, 1.1 m",-,6.438855
31,40,71,Ga,Gallium,1.5,39.892,13.02073805,10.7,30.496704,Ga(NO<sub>3</sub>)<sub>3</sub>,"D<sub>2</sub>O, 1.1 m",-,8.181171
32,41,73,Ge,Germanium,4.5,7.73,-1.489738491,-19.6,3.488315,(CH<sub>3</sub>)<sub>4</sub>Ge,neat,-,-0.9360303
33,42,75,As,Arsenic,1.5,100,7.315020607,31.1,17.122614,NaAsF<sub>6</sub>,"CD<sub>3</sub>CN, 0.5 M",-,4.596163
34,43,77,Se,Selenium,0.5,7.63,8.157304694,0,19.071513,Me<sub>2</sub>Se,neat/C<sub>6</sub>D<sub>6</sub>,-,5.1253857
35,44,79,Br,Bromine,1.5,50.69,10.70415032,30.87,25.05398,NaBr,"D<sub>2</sub>O, 0.01 M",-,6.725616
35,46,81,Br,Bromine,1.5,49.31,11.53837687,25.79,27.006518,NaBr,"D<sub>2</sub>O, 0.01 M",-,7.249776
36,47,83,Kr,Krypton,4.5,11.49,-1.644229717,25.9,3.8476,Kr,gas,-,-1.0331
37,48,85,Rb,Rubidium,2.5,72.17,4.126418167,27.6,9.654943,RbCl,"D<sub>2</sub>O, 0.01 M",-,2.592705
37,50,87,Rb,Rubidium,1.5,27.83,13.98398992,13.35,32.720454,RbCl,"D<sub>2</sub>O, 0.01 M",4.97e10 y,8.7864
38,49,87,Sr,Strontium,4.5,7,-1.852464225,30.5,4.333822,SrCl<sub>2</sub>,"D<sub>2</sub>O, 0.5 M",-,-1.1639376
39,50,89,Y,Yttrium,0.5,100,-2.094923253,0,4.900198,Y(NO<sub>3</sub>)<sub>3</sub>,H<sub>2</sub>O/D<sub>2</sub>O,-,-1.3162791
40,51,91,Zr,Zirconium,2.5,11.22,-3.974783295,-17.6,9.296298,Zr(C<sub>5</sub>H<sub>5</sub>)<sub>2</sub>Cl<sub>2</sub>,"CH<sub>2</sub>Cl<sub>2</sub>, sat.",-,-2.49743
41,52,93,Nb,Niobium,4.5,100,10.45234173,-32,24.47617,K[NbCl<sub>6</sub>],"CH<sub>3</sub>CN, sat.",-,6.5674
42,53,95,Mo,Molybdenum,2.5,15.92,-2.786803054,-2.2,6.516926,Na<sub>2</sub>MoO<sub>4</sub>,"D<sub>2</sub>O, 2 M",-,-1.751
42,55,97,Mo,Molybdenum,2.5,9.55,-2.845690382,25.5,6.653695,Na<sub>2</sub>MoO<sub>4</sub>,"D<sub>2</sub>O, 2 M",-,-1.788
43,56,99,Tc,Technetium,4.5,0,9.622507859,-12.9,22.508326,NH<sub>4</sub>TcO<sub>4</sub>,D<sub>2</sub>O,2.13e5 y,6.046
44,55,99,Ru,Ruthenium,2.5,12.76,-1.956014251,7.9,4.605151,K<sub>4</sub>[Ru(CN)<sub>6</sub>],"D<sub>2</sub>O, 0.3 M",-,-1.229
44,57,101,Ru,Ruthenium,2.5,17.06,-2.191563566,45.7,5.161369,K<sub>4</sub>[Ru(CN)<sub>6</sub>],"D<sub>2</sub>O, 0.3 M",-,-1.377
45,58,103,Rh,Rhodium,0.5,100,-1.347724058,0,3.186447,Rh(acac)<sub>3</sub>,"CDCl<sub>3</sub>, sat.",-,-0.8468
46,59,105,Pd,Palladium,2.5,22.33,-1.9576058,66,4.5761,K<sub>2</sub>PdCl<sub>6</sub>,"D<sub>2</sub>O, sat.",-,-1.23
47,60,107,Ag,Silver,0.5,51.839,-1.733066982,0,4.047819,AgNO<sub>3</sub>,"D<sub>2</sub>O, sat.",-,-1.0889181
47,62,109,Ag,Silver,0.5,48.161,-1.992402482,0,4.653533,AgNO<sub>3</sub>,"D<sub>2</sub>O, sat.",-,-1.2518634
48,63,111,Cd,Cadmium,0.5,12.8,-9.069146972,0,21.21548,Me<sub>2</sub>Cd,neat,-,-5.6983131
48,65,113,Cd,Cadmium,0.5,12.22,-9.487091672,0,22.193175,Me<sub>2</sub>Cd,neat,8.04e15 y,-5.9609155
49,64,113,In,Indium,4.5,4.29,9.365472626,76.1,21.865755,In(NO<sub>3</sub>)<sub>3</sub>,"D<sub>2</sub>O, 0.1 M",-,5.8845
49,66,115,In,Indium,4.5,95.71,9.385685304,77.2,21.912629,In(NO<sub>3</sub>)<sub>3</sub>,"D<sub>2</sub>O, 0.1 M",4.4e14 y,5.8972
50,65,115,Sn,Tin,0.5,0.34,-14.00770401,0,32.718749,Me<sub>4</sub>Sn,neat/C<sub>6</sub>D<sub>6</sub>,-,-8.8013
50,67,117,Sn,Tin,0.5,7.68,-15.26103327,0,35.632259,Me<sub>4</sub>Sn,neat/C<sub>6</sub>D<sub>6</sub>,-,-9.58879
50,69,119,Sn,Tin,0.5,8.59,-15.96594643,0,37.290632,Me<sub>4</sub>Sn,neat/C<sub>6</sub>D<sub>6</sub>,-,-10.0317
51,70,121,Sb,Antimony,2.5,57.21,10.25514876,-54.3,23.930577,KSbCl<sub>6</sub>,"CH<sub>3</sub>CN, sat.",-,6.4435
51,72,123,Sb,Antimony,3.5,42.79,5.553234274,-69.2,12.959217,KSbCl<sub>6</sub>,"CH<sub>3</sub>CN, sat.",-,3.4892
52,71,123,Te,Tellurium,0.5,0.89,-11.2349034,0,26.169742,Me<sub>2</sub>Te,neat/C<sub>6</sub>D<sub>6</sub>,-,-7.059098
52,73,125,Te,Tellurium,0.5,7.07,-13.5454232,0,31.549769,Me<sub>2</sub>Te,neat/C<sub>6</sub>D<sub>6</sub>,-,-8.5108404
53,74,127,I,Iodine,2.5,100,8.577771841,-68.822,20.007486,KI,"D<sub>2</sub>O, 0.01 M",-,5.389573
54,75,129,Xe,Xenon,0.5,26.44,-11.86039029,0,27.810186,XeOF<sub>4</sub>,neat,-,-7.452103
54,77,131,Xe,Xenon,1.5,21.18,3.515853651,-11.46,8.243921,XeOF<sub>4</sub>,neat,-,2.209076
55,78,133,Cs,Cesium,3.5,100,5.623348234,-0.343,13.116142,CsNO<sub>3</sub>,"D<sub>2</sub>O, 0.1 M",-,3.5332539
56,79,135,Ba,Barium,1.5,6.592,4.258190502,15.3,9.934457,BaCl<sub>2</sub>,"D<sub>2</sub>O, 0.5 M",-,2.6755
56,81,137,Ba,Barium,1.5,11.232,4.763427869,23.6,11.112928,BaCl<sub>2</sub>,"D<sub>2</sub>O, 0.5 M",-,2.99295
57,81,138,La,Lanthanum,5.0,0.09,5.661521706,45,13.1943,LaCl<sub>3</sub>,D<sub>2</sub>O/H<sub>2</sub>O,1.06e11 y,3.557239
57,82,139,La,Lanthanum,3.5,99.91,6.061148309,20.6,14.125641,LaCl<sub>3</sub>,"D<sub>2</sub>O, 0.01 M",-,3.8083318
58,79,137,Ce,Cerium,1.5,-,4.886056753,-,11.5,-,-,9.0 h,3.07
58,81,139,Ce,Cerium,1.5,-,5.395352571,-,12.7,-,-,137.6 d,3.39
58,83,141,Ce,Cerium,3.5,-,2.371408652,-,5.57,-,-,32.50 d,1.49
59,82,141,Pr,Pradeodymium,2.5,100,13.03590392,-5.89,30.62,-,-,-,8.1907
60,83,143,Nd,Neodymium,3.5,12.2,-2.318887521,-63,5.45,-,-,-,-1.457
60,85,145,Nd,Neodymium,3.5,8.3,-1.429211389,-33,3.36,-,-,-,-0.898
61,82,143,Pm,Promethium,2.5,-,11.58966296,-,13.2,-,-,265 d,7.282
61,86,147,Pm,Promethium,3.5,-,5.618169491,74,21,-,-,2.623 y,3.53
62,85,147,Sm,Samarium,3.5,14.99,-1.774577615,-25.9,4.17,-,-,1.06e11 y,-1.115
